D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_1.png,S.No.
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_2.png,Plate ID
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_3.png,Thick
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_4.png,Width
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_5.png,Length
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_6.png,Unique ID
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_7.png,Quality Remark
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_8.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_9.png,2218036DDO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_10.png,28
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_11.png,2500
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_12.png,9950
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_13.png,E350C
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_14.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_15.png,2
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_16.png,2218306CEO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_17.png,28
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_18.png,2500
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_19.png,9800
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_20.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_21.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_22.png,3
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_23.png,3218337DBO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_24.png,28
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_25.png,2500
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_26.png,9800
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_27.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_28.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_29.png,4
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_30.png,3218337DEO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_31.png,28
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_32.png,2500
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_33.png,9800
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_34.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_35.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_36.png,5
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_37.png,2218041CAO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_38.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_39.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_40.png,8300
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_41.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_42.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_43.png,6
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_44.png,3218035DAO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_45.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_46.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_47.png,9850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_48.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_49.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_50.png,7
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_51.png,3218033CEO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_52.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_53.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_54.png,8300
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_55.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_56.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_57.png,8
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_58.png,3218031DBO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_59.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_60.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_61.png,8300
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_62.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_63.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_64.png,9
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_65.png,3218031DDO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_66.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_67.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_68.png,8300
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_69.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_70.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_71.png,10
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_72.png,3218033BGO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_73.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_74.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_75.png,8300
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_76.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_77.png,1 45.484MT
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_78.png,11 
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_79.png,3218036BEO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_80.png,32
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_81.png,1850
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_82.png,10400
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_83.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_84.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_85.png,12
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_86.png,3218337CBO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_87.png,28
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_88.png,2500
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_89.png,9950
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_90.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_91.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_92.png,13
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_93.png,3218337CEO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_94.png,28
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_95.png,2500
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_96.png,9950
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_97.png,text
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_98.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_99.png,14
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_106.png,15
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_113.png,16
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_120.png,17
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_127.png,18
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_134.png,19
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_141.png,20
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_148.png,21
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_155.png,22
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_162.png,23
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_169.png,24
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_176.png,25
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell1\cell_183.png,26
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_1.png,S.No
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_2.png,Plate ID
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_3.png,Thick
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_4.png,Width
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_5.png,Length
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_6.png,Unique ID
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_7.png,Quality Remark
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_8.png,1
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_9.png,2218389BAO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_10.png,25
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_11.png,2550
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_12.png,11550
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_13.png,E350C
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_14.png,01 5.174MT
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_15.png,2
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_16.png,3218429CGO
D:\MAIN\MEMORY_STACK\scanToText\TROCR\cell\cell_17.png,25
